Machine Learning Method,ML Method Parameters,Text Normalization,Text Representation,Avg F-Score
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.807506172
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.415691075
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.874801616
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': False, 'text_cleaning': True, 'lemmatization': True}",Embeddings - SVD: True,0.947480218
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.563764744
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.567544071
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.788667749
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.854143022
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.598034716
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.368935971
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.660800239
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: False,0.635342657
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.563764744
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.567544071
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.567544071
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.567544071
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.598034716
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.349260107
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.736945852
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Frecuencia - SVD: True,0.589406258
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.563998714
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.563998714
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.784113645
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.756199356
SVM,SVC(kernel='linear'),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.602456826
SVM,SVC(gamma=0.1),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.372602312
MLP,MLPClassifier(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.664514375
MLP,"MLPClassifier(hidden_layer_sizes=(200, 100), max_iter=2000)","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: False,0.664514375
Logistic Regression,LogisticRegression(max_iter=1000),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: True,0.563998714
Logistic Regression,"LogisticRegression(C=0.5, max_iter=2000, solver='liblinear')","{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: True,0.563998714
Naive Bayes,MultinomialNB(),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: True,0.563998714
Naive Bayes,MultinomialNB(alpha=0.5),"{'tokenize': True, 'stopwords_removal': True, 'text_cleaning': False, 'lemmatization': False}",Binarización - SVD: True,0.563998714
